number,name,image,theme,subtheme,year,rating,owner,want_it,pieces,minifigs,us_price,eu_price
11912,LEGO Star Wars: Build Your Own Adventure,,Star Wars,Miscellaneous,2016,,317,264,73,1,,
21026,Venice,https://images.brickset.com/sets/small/21026-1.jpg,Architecture,Skylines,2016,4.0,3536,1315,212,,29.99,29.99
21027,Berlin,https://images.brickset.com/sets/small/21027-1.jpg,Architecture,Skylines,2016,4.3,3608,1291,289,,29.99,29.99
21028,New York City,https://images.brickset.com/sets/small/21028-1.jpg,Architecture,Skylines,2016,4.3,4186,1725,598,,59.99,49.99
21029,Buckingham Palace,https://images.brickset.com/sets/small/21029-1.jpg,Architecture,Landmark Series,2016,4.0,3231,1758,780,,49.99,49.99
21030,United States Capitol Building,https://images.brickset.com/sets/small/21030-1.jpg,Architecture,Landmark Series,2016,4.0,2700,1917,1032,,99.99,99.99
21031,Burj Khalifa,https://images.brickset.com/sets/small/21031-1.jpg,Architecture,Landmark Series,2016,4.0,2100,1136,333,,39.99,39.99
21123,The Iron Golem,https://images.brickset.com/sets/small/21123-1.jpg,Minecraft,Minifig-scale,2016,4.0,1922,451,208,2,19.99,19.99
21124,The End Portal,https://images.brickset.com/sets/small/21124-1.jpg,Minecraft,Minifig-scale,2016,4.0,976,561,559,3,59.99,59.99
21125,The Jungle Tree House,https://images.brickset.com/sets/small/21125-1.jpg,Minecraft,Minifig-scale,2016,4.5,1079,692,706,4,69.99,89.99
21126,The Wither,https://images.brickset.com/sets/small/21126-1.jpg,Minecraft,Minifig-scale,2016,5.0,1085,508,318,3,39.99,34.99
21127,The Fortress,https://images.brickset.com/sets/small/21127-1.jpg,Minecraft,Minifig-scale,2016,3.0,768,662,984,4,109.99,109.99
21128,The Village,https://images.brickset.com/sets/small/21128-1.jpg,Minecraft,Minifig-scale,2016,4.0,505,868,1600,8,199.99,199.99
21305,Maze,https://images.brickset.com/sets/small/21305-1.jpg,Ideas,,2016,5.0,3241,1391,769,,69.99,69.99
21306,The Beatles Yellow Submarine,https://images.brickset.com/sets/small/21306-1.jpg,Ideas,Licensed,2016,4.4,6858,1223,553,5,59.99,59.99
21307,Caterham Seven 620R,https://images.brickset.com/sets/small/21307-1.jpg,Ideas,Licensed,2016,5.0,4667,1162,771,,79.99,79.99
30277,First Order Star Destroyer,https://images.brickset.com/sets/small/30277-1.jpg,Star Wars,The Force Awakens,2016,3.0,2110,948,56,,,
30278,Poe's X-wing Fighter,https://images.brickset.com/sets/small/30278-1.jpg,Star Wars,The Force Awakens,2016,4.5,5877,969,64,,3.99,4.99
30279,Kylo Ren's Command Shuttle,https://images.brickset.com/sets/small/30279-1.jpg,Star Wars,The Force Awakens,2016,5.0,3265,884,43,,,
30321,Duck,https://images.brickset.com/sets/small/30321-1.jpg,Duplo,,2016,,389,51,4,,,
30322,Wildlife {Random bag},https://images.brickset.com/sets/small/30322-1.jpg,Duplo,,2016,,45,39,7,,,
30322,Wildlife - Polar Bear,https://images.brickset.com/sets/small/30322-2.jpg,Duplo,,2016,,75,21,,,,
30322,Wildlife - Penguin,https://images.brickset.com/sets/small/30322-3.jpg,Duplo,,2016,,86,26,,,,
30322,Wildlife - Tortoise,https://images.brickset.com/sets/small/30322-4.jpg,Duplo,,2016,,74,25,,,,
30322,Wildlife - Lion Cub,https://images.brickset.com/sets/small/30322-5.jpg,Duplo,,2016,,66,20,,,,
30322,Wildlife - Elephant,https://images.brickset.com/sets/small/30322-6.jpg,Duplo,,2016,,85,24,,,,
30346,Prison Island Helicopter,https://images.brickset.com/sets/small/30346-1.jpg,City,Prison Island,2016,3.5,1646,439,46,1,,
30347,Fire Car,https://images.brickset.com/sets/small/30347-1.jpg,City,Fire,2016,5.0,1871,364,53,1,3.99,
30348,Mini Dumper,https://images.brickset.com/sets/small/30348-1.jpg,City,Construction,2016,4.0,1517,650,45,1,,
30349,Sports Car,https://images.brickset.com/sets/small/30349-1.jpg,City,Traffic,2016,4.0,2433,562,47,1,3.99,
30350,Volcano Jackhammer,https://images.brickset.com/sets/small/30350-1.jpg,City,Volcano Explorers,2016,4.5,1258,617,53,1,,
30371,Knight's Cycle,https://images.brickset.com/sets/small/30371-1.jpg,Nexo Knights,Miscellaneous,2016,3.0,2160,372,38,1,,
30372,Robin's Mini Fortrex,https://images.brickset.com/sets/small/30372-1.jpg,Nexo Knights,Miscellaneous,2016,4.7,3285,383,45,1,,
30373,Knighton Hyper Cannon,https://images.brickset.com/sets/small/30373-1.jpg,Nexo Knights,Miscellaneous,2016,,930,558,43,1,,
30374,The Lava Slinger,https://images.brickset.com/sets/small/30374-1.jpg,Nexo Knights,Miscellaneous,2016,4.0,1442,430,40,1,,
30375,Sira's Adventurous Airglider,https://images.brickset.com/sets/small/30375-1.jpg,Elves,,2016,,663,440,24,1,,
30396,Cupcake Stall,https://images.brickset.com/sets/small/30396-1.jpg,Friends,,2016,,1289,367,28,1,,
30397,Olaf's Summertime Fun,https://images.brickset.com/sets/small/30397-1.jpg,Disney,Frozen,2016,4.5,3744,519,48,1,,
30398,Adventure Camp Bridge,https://images.brickset.com/sets/small/30398-1.jpg,Friends,Adventure Camp,2016,3.5,746,371,37,1,,
